date,pm25,pm10,o3,no2,so2,co
2024/11/15, 98, 44, , 10, 3, 4
2024/11/16, 114, 58, , 6, 2, 3
2024/11/17, 130, 75, , 10, 3, 10
2024/11/18, 161, 94, , 12, 3, 15
2024/11/19, 184, 24, , 7, 3, 4
2024/11/20, 69, 23, , 9, 2, 5
2024/11/21, 62, 25, , 9, 2, 5
2024/11/22, 61, 38, , 13, 2, 6
2024/11/23, 92, 65, , 13, 2, 11
2024/11/24, 150, 81, , 22, 3, 18
2024/11/25, 167, 106, , 19, 3, 17
2024/11/26, 183, 81, , 19, 4, 15
2024/11/27, 164, 88, , 15, 5, 20
2024/11/28, 167, 34, , 13, 2, 6
2024/11/29, 93, 22, , 8, 2, 6
2024/11/30, 73, 5, , 2, 2, 3
2024/12/1, 17, 16, , 2, 2, 4
2024/12/2, 42, 39, , 12, 2, 6
2024/12/3, 91, 32, , 11, 2, 7
2024/12/4, 85, 36, , 10, 2, 7
2024/12/5, 105, 26, , 8, 2, 8
2024/12/6, 84, 36, , 14, 2, 6
2024/12/7, 91, 31, , 7, 2, 6
2024/12/8, 91, 63, , 14, 3, 12
2024/12/9, 131, 32, , 10, 4, 7
2024/12/10, 92, 28, , 10, 5, 7
2024/12/11, 82, 40, , 9, 7, 5
2024/12/12, 81, 53, , 8, 9, 5
2024/12/13, 118, 65, , 17, 5, 27
2024/12/14, 153, 40, , 10, 5, 10
2024/12/15, 101, 67, , 18, 5, 18
2024/12/16, 122, 89, , 18, 7, 15
2024/12/17, 165, 95, , 19, 4, 20
2024/12/18, 180, 105, , 23, 5, 22
2024/12/19, 189, 59, , 18, 4, 16
2024/12/20, 134, 12, , 8, 2, 4
2024/12/21, 40, 44, , 10, 3, 7
2024/12/22, 109, 28, , 14, 6, 8
2024/12/23, 82, 11, , 8, 1, 
2024/12/24, 41, 18, , 5, 1, 
2024/12/25, 65, 35, , 8, 2, 4
2024/12/26, 94, 45, , 14, 6, 5
2024/12/27, 106, 66, , 17, 5, 11
2024/12/28, 144, 88, , 15, 3, 15
2024/12/29, 179, , , , , 
2024/7/1, 47, 12, , 8, 2, 3
2024/7/2, 41, 10, , 7, 2, 3
2024/7/3, 36, 10, , 7, 2, 3
2024/7/4, 36, 10, , 9, 2, 3
2024/7/5, 35, 8, , 8, 2, 4
2024/7/6, 27, 9, , 8, 2, 4
2024/7/7, 33, 10, , 12, 2, 5
2024/7/8, 35, 10, , 13, 2, 5
2024/7/9, 34, 9, , 14, 2, 5
2024/7/10, 31, 7, , 12, 2, 5
2024/7/11, 28, 8, , 15, 2, 5
2024/7/12, 31, 7, , 13, 2, 5
2024/7/13, 29, 8, , 11, 2, 5
2024/7/14, 33, 8, , 12, 2, 5
2024/7/15, 34, 7, , 14, 2, 5
2024/7/16, 31, 8, , 16, 3, 5
2024/7/17, 34, 10, , 13, 4, 5
2024/7/18, 44, 8, , 12, 2, 5
2024/7/19, 33, 8, , 7, 2, 5
2024/7/20, 33, 11, , 4, 2, 5
2024/7/21, 45, 15, , 9, 3, 5
2024/7/22, 53, 13, , 14, 3, 5
2024/7/23, 52, 13, , 9, 3, 4
2024/7/24, 52, 7, , 9, 2, 4
2024/7/25, 29, 6, , 11, 2, 4
2024/7/26, 24, 6, , 9, 2, 4
2024/7/27, 26, 5, , 11, 2, 4
2024/7/28, 22, 6, , 8, 2, 4
2024/7/29, 20, 5, , 9, 2, 4
2024/7/30, 20, 6, , 11, 2, 4
2024/7/31, 23, 6, , 15, 2, 4
2024/8/1, 24, 10, , 13, 2, 4
2024/8/2, 32, 12, , 7, 2, 5
2024/8/3, 49, 6, , 7, 2, 4
2024/8/4, 26, 7, , 11, 2, 4
2024/8/5, 28, 9, , 12, 4, 2
2024/8/6, 40, 4, , 12, 2, 2
2024/8/7, 18, 3, , 10, 2, 2
2024/8/8, 12, 6, , 13, 2, 2
2024/8/9, 25, 5, , 10, 2, 2
2024/8/10, 21, 5, , 8, 2, 2
2024/8/11, 22, 5, , 16, 2, 2
2024/8/12, 23, 6, , 20, 2, 3
2024/8/13, 26, 14, , 18, 3, 3
2024/8/14, 36, 23, , 12, 3, 2
2024/8/15, 47, 28, , 14, 2, 3
2024/8/16, 58, 28, , 12, 2, 3
2024/8/17, 57, 23, , 6, 2, 2
2024/8/18, 46, 25, , 11, 2, 2
2024/8/19, 55, 16, , 13, 2, 2
2024/8/20, 42, 17, , 13, 2, 2
2024/8/21, 41, 23, , 9, 2, 2
2024/8/22, 49, 22, , 14, 2, 2
2024/8/23, 48, 23, , 17, 2, 2
2024/8/24, 49, 29, , 12, 2, 3
2024/8/25, 55, 34, , 17, 2, 3
2024/8/26, 56, 34, , 14, 2, 2
2024/8/27, 52, 27, , 12, 3, 2
2024/8/28, 57, 28, , 10, 2, 3
2024/8/29, 61, , , , , 
2024/8/31, 69, 42, , 18, 2, 5
2024/9/1, 72, 46, , 20, 2, 5
2024/9/2, 68, 42, , 18, 2, 5
2024/9/3, 63, 38, , 19, 2, 4
2024/9/4, 63, 44, , 13, 2, 4
2024/9/5, 69, 33, , 10, 3, 4
2024/9/6, 67, 23, , 6, 2, 4
2024/9/7, 52, 27, , 7, 2, 4
2024/9/8, 45, 28, , 11, 4, 3
2024/9/9, 47, 16, , 11, 2, 5
2024/9/10, 49, 23, , 11, 2, 4
2024/9/11, 61, 25, , 9, 2, 4
2024/9/12, 56, 18, , 10, 3, 4
2024/9/13, 42, 11, , 6, 3, 4
2024/9/14, 36, 14, , 7, 2, 4
2024/9/15, 46, 18, , 10, 2, 4
2024/9/16, 41, 17, , 10, 3, 4
2024/9/17, 37, 22, , 10, 3, 4
2024/9/18, 48, 23, , 11, 2, 5
2024/9/19, 60, 22, , 10, 2, 4
2024/9/20, 48, 30, , 13, 2, 4
2024/9/21, 54, 33, , 14, 2, 5
2024/9/22, 70, 37, , 17, 4, 5
2024/9/23, 70, 32, , 19, 2, 6
2024/9/24, 70, 32, , 15, 2, 5
2024/9/25, 68, 28, , 13, 2, 3
2024/9/26, 59, 23, , 15, 2, 3
2024/9/27, 52, 25, , 12, 2, 2
2024/9/28, 51, 10, , 4, 2, 1
2024/9/29, 30, 16, , 9, 2, 2
2024/9/30, 37, 22, , 13, 2, 3
2024/4/1, 71, 30, , 7, 2, 1
2024/4/2, 40, 14, , 13, 2, 3
2024/4/3, 36, 19, , 15, 2, 6
2024/4/4, 42, 18, , 14, 3, 
2024/4/5, 45, 16, , 11, 3, 2
2024/4/6, 37, 18, , 10, 3, 2
2024/4/7, 40, 13, , 11, 2, 2
2024/4/8, 29, 14, , 11, 2, 2
2024/4/9, 26, 18, , 13, 2, 2
2024/4/10, 34, 29, , 7, 3, 2
2024/4/11, 61, 27, , 9, 3, 3
2024/4/12, 68, 23, , 11, 3, 3
2024/4/13, 61, 17, , 10, 2, 3
2024/4/14, 47, 26, , 10, 3, 2
2024/4/15, 44, 30, , 13, 3, 3
2024/4/16, 63, 7, , 11, 2, 3
2024/4/17, 32, 16, , 8, 2, 3
2024/4/18, 55, 21, , 10, 2, 3
2024/4/19, 64, 21, , 11, 2, 3
2024/4/20, 61, 19, , 8, 2, 4
2024/4/21, 66, 20, , 12, 2, 4
2024/4/22, 65, 25, , 14, 2, 6
2024/4/23, 78, 16, , 8, 3, 4
2024/4/24, 44, 21, , 10, 3, 4
2024/4/25, 69, 21, , 10, 2, 4
2024/4/26, 61, 14, , 9, 3, 3
2024/4/27, 43, 14, , 8, 2, 3
2024/4/28, 40, 13, , 10, 2, 2
2024/4/29, 31, 14, , 9, 2, 3
2024/4/30, 28, 7, , 4, 2, 2
2024/5/1, 17, 9, , 5, 2, 2
2024/5/2, 32, 6, , 6, 2, 3
2024/5/3, 25, 16, , 8, 2, 3
2024/5/4, 58, 12, , 4, 2, 2
2024/5/5, 41, 12, , 6, 2, 2
2024/5/6, 39, 12, , 10, 2, 3
2024/5/7, 34, 9, , 10, 2, 3
2024/5/8, 29, 5, , 5, 2, 3
2024/5/9, 16, 10, , 9, 2, 3
2024/5/10, 27, 12, , 9, 2, 3
2024/5/11, 36, 11, , 7, 2, 3
2024/5/12, 36, 15, , 9, 2, 3
2024/5/13, 34, 13, , 9, 2, 3
2024/5/14, 35, 7, , 10, 2, 3
2024/5/15, 27, 14, , 8, 2, 3
2024/5/16, 49, 19, , 7, 2, 3
2024/5/17, 56, 16, , 7, 2, 3
2024/5/18, 49, 10, , 5, 2, 4
2024/5/19, 37, 8, , 7, 2, 4
2024/5/20, 27, 17, , 7, 2, 4
2024/5/21, 51, 15, , 11, 2, 4
2024/5/22, 47, 9, , 9, 2, 3
2024/5/23, 32, 13, , 8, 2, 2
2024/5/24, 47, 13, , 7, 1, 2
2024/5/25, 40, 12, , 6, 2, 2
2024/5/26, 30, 12, , 9, 2, 2
2024/5/27, 29, 11, , 7, 2, 2
